Power (kw),Power-1,Temp.(ºC),SolarRad(W/m2),Holiday,Weekend,Hour,Sin_hour
147.1366442,147.7375445,14.070833333333333,0.21,0,0,0,0.0
144.9036225,147.1366442,13.6875,0.33,0,0,1,0.0
144.4268371,144.9036225,13.175833333333335,0.48933333333333334,0,0,2,0.0
143.690729,144.4268371,13.135833333333332,0.35308333333333336,0,0,3,0.0
140.7316456,143.690729,12.6825,0.57,0,0,4,0.0
140.7546686,140.7316456,11.558333333333332,0.7155,0,0,5,0.0
154.9060695,140.7546686,11.488333333333335,1.1309166666666666,0,0,6,0.0
185.2233838,154.9060695,11.981666666666667,65.84,0,0,7,0.0
242.4727942,185.2233838,12.479166666666666,245.375,0,0,8,0.0
317.6137965,242.4727942,13.0675,431.5333333333333,0,0,9,0.0
318.7075983,317.6137965,13.654166666666667,587.4583333333334,0,0,10,0.0
332.8700921,318.7075983,15.573333333333332,695.775,0,0,11,1.1317961645591699
294.750911,332.8700921,17.143333333333334,746.4166666666666,0,0,12,3.6647912925192827
292.6750736,294.750911,18.061666666666667,737.3333333333334,0,0,13,5.948036950248172
308.1657852,292.6750736,19.150833333333335,668.4333333333333,0,0,14,7.825933719413469
298.4921485,308.1657852,20.435,544.1833333333333,0,0,15,9.170506038567703
294.1366155,298.4921485,20.889166666666668,373.64166666666665,0,0,16,9.89012352617133
263.9270907,294.1366155,20.985833333333332,181.125,0,0,17,9.935745439668286
228.1083259,263.9270907,20.391666666666666,22.97283333333333,0,0,18,9.304262721047534
194.2714228,228.1083259,20.149166666666666,0.0,0,0,19,8.038709874008541
164.7214023,194.2714228,20.420833333333334,0.013916666666666667,0,0,20,6.225332233652053
144.180491,164.7214023,19.8825,0.04833333333333334,0,0,21,3.987708489420121
140.1435126,144.180491,19.205000000000002,0.19608333333333336,0,0,22,1.4783290016340547
139.8232836,140.1435126,18.157692307692308,0.019153846153846153,0,0,23,0.0
138.4082063,139.8232836,17.18583333333333,0.07375,0,0,0,0.0
137.9452347,138.4082063,15.967500000000001,0.17516666666666666,0,0,1,0.0
136.4169261,137.9452347,15.657499999999999,0.16833333333333333,0,0,2,0.0
136.6500863,136.4169261,15.189166666666667,0.20058333333333334,0,0,3,0.0
134.3565769,136.6500863,14.075833333333334,0.5630833333333333,0,0,4,0.0
137.1289647,134.3565769,13.268333333333333,0.5584166666666667,0,0,5,0.0
150.620652,137.1289647,12.629166666666668,1.4978333333333333,0,0,6,0.0
185.743285,150.620652,12.455,70.39416666666666,0,0,7,0.0
235.3467571,185.743285,13.661666666666667,252.17499999999998,0,0,8,0.0
290.8606519,235.3467571,14.6625,440.25,0,0,9,0.0
284.5153038,290.8606519,16.1325,594.475,0,0,10,0.0
304.8261944,284.5153038,18.658333333333335,701.3666666666667,0,0,11,1.1317961645591699
295.0280242,304.8261944,20.339166666666667,748.25,0,0,12,3.6647912925192827
290.7024211,295.0280242,22.589166666666667,741.0833333333334,0,0,13,5.948036950248172
310.7133848,290.7024211,23.8125,669.9916666666667,0,0,14,7.825933719413469
317.8810726,310.7133848,24.459166666666665,543.1916666666667,0,0,15,9.170506038567703
289.5313876,317.8810726,24.7025,372.77500000000003,0,0,16,9.89012352617133
263.6591867,289.5313876,24.414166666666663,180.0,0,0,17,9.935745439668286
233.4203599,263.6591867,23.02,23.126333333333335,0,0,18,9.304262721047534
188.6180205,233.4203599,21.170833333333334,0.49816666666666665,0,0,19,8.038709874008541
146.7908806,188.6180205,21.170833333333334,0.5305,0,0,20,6.225332233652053
138.5528326,146.7908806,21.103333333333335,0.42450000000000004,0,0,21,3.987708489420121
132.4929697,138.5528326,20.419999999999998,0.48216666666666663,0,0,22,1.4783290016340547
131.8267678,132.4929697,18.9725,0.46141666666666664,0,0,23,0.0
128.4731539,131.8267678,17.8975,0.37600000000000006,0,0,0,0.0
127.0501232,128.4731539,17.700833333333332,0.35541666666666666,0,0,1,0.0
126.0283206,127.0501232,16.896666666666665,0.35533333333333333,0,0,2,0.0
124.2672704,126.0283206,14.851666666666667,0.6415000000000001,0,0,3,0.0
123.604208,124.2672704,13.789166666666667,0.7890833333333332,0,0,4,0.0
127.4205842,123.604208,13.405000000000001,0.6993333333333333,0,0,5,0.0
141.5931244,127.4205842,13.25,1.6478333333333335,0,0,6,0.0
165.064445,141.5931244,13.316666666666668,80.335,0,0,7,0.0
213.1167948,165.064445,14.078333333333333,259.23333333333335,0,0,8,0.0
254.8037037,213.1167948,15.764166666666668,440.2833333333333,0,0,9,0.0
276.1158855,254.8037037,18.044166666666666,606.0749999999999,0,0,10,0.0
284.9709499,276.1158855,19.664166666666667,716.9833333333332,0,0,11,1.1317961645591699
285.2719233,284.9709499,21.72,705.1166666666667,0,0,12,3.6647912925192827
290.7664669,285.2719233,21.599166666666665,756.6666666666666,0,0,13,5.948036950248172
306.1832956,290.7664669,22.103333333333335,673.5333333333333,0,0,14,7.825933719413469
299.5486949,306.1832956,22.231666666666666,547.8916666666667,0,0,15,9.170506038567703
274.9191081,299.5486949,22.284166666666664,371.68333333333334,0,0,16,9.89012352617133
243.5496427,274.9191081,20.631666666666664,174.4,0,0,17,9.935745439668286
204.1286156,243.5496427,18.590833333333332,20.755416666666665,0,0,18,9.304262721047534
178.2122524,204.1286156,17.866666666666667,0.46366666666666667,0,0,19,8.038709874008541
152.3214238,178.2122524,17.8,0.33466666666666667,0,0,20,6.225332233652053
138.7301097,152.3214238,16.825833333333332,0.39441666666666664,0,0,21,3.987708489420121
131.5825147,138.7301097,16.4425,0.43850000000000006,0,0,22,1.4783290016340547
130.4443413,131.5825147,15.856153846153846,0.4493076923076923,0,0,23,0.0
121.1200263,130.4443413,15.219999999999999,0.7914166666666667,0,1,0,0.0
119.1115835,121.1200263,14.933333333333332,0.8720833333333333,0,1,1,0.0
117.5690425,119.1115835,14.5225,0.78925,0,1,2,0.0
122.0641786,117.5690425,13.871666666666668,0.6646666666666666,0,1,3,0.0
124.8030784,122.0641786,13.675833333333332,0.7106666666666667,0,1,4,0.0
126.2395043,124.8030784,14.116666666666667,0.6738333333333334,0,1,5,0.0
136.6990625,126.2395043,14.184166666666668,1.1769166666666668,0,1,6,0.0
130.9274057,136.6990625,14.254166666666668,31.125,0,1,7,0.0
128.3379461,130.9274057,14.4375,162.17499999999998,0,1,8,0.0
123.4736048,128.3379461,14.728333333333333,306.9916666666667,0,1,9,0.0
122.9313085,123.4736048,14.824166666666668,390.80833333333334,0,1,10,0.0
122.302362,122.9313085,15.8675,585.6666666666666,0,1,11,1.1317961645591699
123.9166929,122.302362,15.845833333333333,653.725,0,1,12,3.6647912925192827
123.4518376,123.9166929,15.993333333333334,574.4083333333333,0,1,13,5.948036950248172
125.4908382,123.4518376,16.853333333333335,503.34999999999997,0,1,14,7.825933719413469
137.6557728,125.4908382,15.5675,329.98333333333335,0,1,15,9.170506038567703
138.4291363,137.6557728,15.638333333333334,363.175,0,1,16,9.89012352617133
134.7111311,138.4291363,14.925833333333335,164.335,0,1,17,9.935745439668286
135.1787073,134.7111311,13.643333333333333,25.71966666666667,0,1,18,9.304262721047534
137.5354253,135.1787073,13.020000000000001,0.7590833333333333,0,1,19,8.038709874008541
134.0447199,137.5354253,12.657499999999999,0.5561666666666666,0,1,20,6.225332233652053
129.3402838,134.0447199,12.390833333333333,0.6023333333333333,0,1,21,3.987708489420121
132.2457864,129.3402838,12.040833333333333,0.73175,0,1,22,1.4783290016340547
130.9504287,132.2457864,11.903333333333334,0.5585,0,1,23,0.0
131.4604928,130.9504287,11.714999999999998,0.5931666666666667,0,1,0,0.0
127.449049,131.4604928,11.3975,0.5124166666666666,0,1,1,0.0
126.3305498,127.449049,11.199166666666665,0.6185833333333334,0,1,2,0.0
115.9132702,126.3305498,11.403333333333334,0.5353333333333333,0,1,3,0.0
114.8192591,115.9132702,11.620833333333332,0.15925,0,1,4,0.0
114.7711201,114.8192591,11.725,0.027833333333333335,0,1,5,0.0
